route_id,service_id,trip_id,trip_headsign,shape_id
50010901,303,90687,Cabecera,50010901
50010002,303,90688,"Plz. Circular 2 (V)",50010002
50010002,303,90689,"Plz. Circular 2 (V)",50010002
50010002,303,90690,"Plz. Circular 2 (V)",50010002
50010002,303,90691,"Plz. Circular 2 (V)",50010002
50010002,303,90692,"Plz. Circular 2 (V)",50010002
50010002,303,90693,"Plz. Circular 2 (V)",50010002
50010002,303,90694,"Plz. Circular 2 (V)",50010002
50010002,303,90695,"Plz. Circular 2 (V)",50010002
50010002,303,90696,"Plz. Circular 2 (V)",50010002
50010002,303,90697,"Plz. Circular 2 (V)",50010002
50010002,303,90698,"Plz. Circular 2 (V)",50010002
50010002,303,90699,"Plz. Circular 2 (V)",50010002
50010002,303,90700,"Plz. Circular 2 (V)",50010002
50010002,303,90701,"Plz. Circular 2 (V)",50010002
50010002,303,90702,"Plz. Circular 2 (V)",50010002
50010002,303,90703,"Plz. Circular 2 (V)",50010002
50010002,303,90704,"Plz. Circular 2 (V)",50010002
50010002,303,90705,"Plz. Circular 2 (V)",50010002
50010902,303,90706,Cocheras,50010902
50010901,303,90707,Cabecera,50010901
50010002,303,90708,"Plz. Circular 2 (V)",50010002
50010002,303,90709,"Plz. Circular 2 (V)",50010002
50010002,303,90710,"Plz. Circular 2 (V)",50010002
50010002,303,90711,"Plz. Circular 2 (V)",50010002
50010002,303,90712,"Plz. Circular 2 (V)",50010002
50010002,303,90713,"Plz. Circular 2 (V)",50010002
50010002,303,90714,"Plz. Circular 2 (V)",50010002
50010002,303,90715,"Plz. Circular 2 (V)",50010002
50010002,303,90716,"Plz. Circular 2 (V)",50010002
50010002,303,90717,"Plz. Circular 2 (V)",50010002
50010002,303,90718,"Plz. Circular 2 (V)",50010002
50010002,303,90719,"Plz. Circular 2 (V)",50010002
50010002,303,90720,"Plz. Circular 2 (V)",50010002
50010002,303,90721,"Plz. Circular 2 (V)",50010002
50010002,303,90722,"Plz. Circular 2 (V)",50010002
50010002,303,90723,"Plz. Circular 2 (V)",50010002
50010002,303,90724,"Plz. Circular 2 (V)",50010002
50010002,303,90725,"Plz. Circular 2 (V)",50010002
50010902,303,90726,Cocheras,50010902
50020901,303,90727,Cabecera,50020901
50020002,303,90728,"Plz. Circular 14 (V)",50020002
50020002,303,90729,"Plz. Circular 14 (V)",50020002
50020002,303,90730,"Plz. Circular 14 (V)",50020002
50020002,303,90731,"Plz. Circular 14 (V)",50020002
50020002,303,90732,"Plz. Circular 14 (V)",50020002
50020002,303,90733,"Plz. Circular 14 (V)",50020002
50020002,303,90734,"Plz. Circular 14 (V)",50020002
50020002,303,90735,"Plz. Circular 14 (V)",50020002
50020002,303,90736,"Plz. Circular 14 (V)",50020002
50020002,303,90737,"Plz. Circular 14 (V)",50020002
50020002,303,90738,"Plz. Circular 14 (V)",50020002
50020002,303,90739,"Plz. Circular 14 (V)",50020002
50020002,303,90740,"Plz. Circular 14 (V)",50020002
50020002,303,90741,"Plz. Circular 14 (V)",50020002
50020002,303,90742,"Plz. Circular 14 (V)",50020002
50020002,303,90743,"Plz. Circular 14 (V)",50020002
50020002,303,90744,"Plz. Circular 14 (V)",50020002
50020002,303,90745,"Plz. Circular 14 (V)",50020002
50020902,303,90746,Cocheras,50020902
50020901,303,90747,Cabecera,50020901
50020002,303,90748,"Plz. Circular 14 (V)",50020002
50020002,303,90749,"Plz. Circular 14 (V)",50020002
50020002,303,90750,"Plz. Circular 14 (V)",50020002
50020002,303,90751,"Plz. Circular 14 (V)",50020002
50020002,303,90752,"Plz. Circular 14 (V)",50020002
50020002,303,90753,"Plz. Circular 14 (V)",50020002
50020002,303,90754,"Plz. Circular 14 (V)",50020002
50020002,303,90755,"Plz. Circular 14 (V)",50020002
50020002,303,90756,"Plz. Circular 14 (V)",50020002
50020002,303,90757,"Plz. Circular 14 (V)",50020002
50020002,303,90758,"Plz. Circular 14 (V)",50020002
50020002,303,90759,"Plz. Circular 14 (V)",50020002
50020002,303,90760,"Plz. Circular 14 (V)",50020002
50020002,303,90761,"Plz. Circular 14 (V)",50020002
50020002,303,90762,"Plz. Circular 14 (V)",50020002
50020002,303,90763,"Plz. Circular 14 (V)",50020002
50020002,303,90764,"Plz. Circular 14 (V)",50020002
50020002,303,90765,"Plz. Circular 14 (V)",50020002
50020902,303,90766,Cocheras,50020902
50050901,303,90767,Cabecera,50050901
50050002,303,90768,Residencia Issorm (Frente V),50050002
50050002,303,90769,Residencia Issorm (Frente V),50050002
50050002,303,90770,Residencia Issorm (Frente V),50050002
50050002,303,90771,Residencia Issorm (Frente V),50050002
50050002,303,90772,Residencia Issorm (Frente V),50050002
50050002,303,90773,Residencia Issorm (Frente V),50050002
50050002,303,90774,Residencia Issorm (Frente V),50050002
50050002,303,90775,Residencia Issorm (Frente V),50050002
50050002,303,90776,Residencia Issorm (Frente V),50050002
50050002,303,90777,Residencia Issorm (Frente V),50050002
50050002,303,90778,Residencia Issorm (Frente V),50050002
50050002,303,90779,Residencia Issorm (Frente V),50050002
50050002,303,90780,Residencia Issorm (Frente V),50050002
50050002,303,90781,Residencia Issorm (Frente V),50050002
50050002,303,90782,Residencia Issorm (Frente V),50050002
50050002,303,90783,Residencia Issorm (Frente V),50050002
50050002,303,90784,Residencia Issorm (Frente V),50050002
50050002,303,90785,Residencia Issorm (Frente V),50050002
50050002,303,90786,Residencia Issorm (Frente V),50050002
50050002,303,90787,Residencia Issorm (Frente V),50050002
50050002,303,90788,Residencia Issorm (Frente V),50050002
50050002,303,90789,Residencia Issorm (Frente V),50050002
50050002,303,90790,Residencia Issorm (Frente V),50050002
50050902,303,90791,Cocheras,50050902
50050901,303,90792,Cabecera,50050901
50050002,303,90793,Residencia Issorm (Frente V),50050002
50050002,303,90794,Residencia Issorm (Frente V),50050002
50050002,303,90795,Residencia Issorm (Frente V),50050002
50050002,303,90796,Residencia Issorm (Frente V),50050002
50050002,303,90797,Residencia Issorm (Frente V),50050002
