"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id"
"L1A","20240417_2222","20240417_2222_18416_0","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18416_1","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18416_2","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18416_3","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18416_4","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18416_5","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18416_6","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18416_7","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18416_8","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18416_9","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18416_10","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18417_0","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18417_1","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18417_2","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18417_3","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18417_4","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18417_5","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18417_6","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18417_7","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18417_8","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18417_9","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18418_0","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18418_1","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18418_2","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18418_3","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18418_4","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18418_5","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18418_6","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18418_7","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18418_8","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18418_9","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18419_0","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18419_1","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18419_2","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18419_3","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18419_4","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18419_5","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18419_6","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18419_7","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18419_8","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18419_9","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18419_10","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18420_0","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18420_1","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18420_2","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18420_3","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18420_4","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18420_5","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18420_6","","","0","","L1"
"L1A","20240417_2222","20240417_2222_18420_7","","","0","","L1"
